row_type,meta_key,meta_value,通し番号,step_id,next_step_id,フェーズ,状態,タイトル,画像,表示テキスト,警告テキスト,必須チェック,timer_id,timer_event,timer_exchange_no,timer_segment,alarm_id,alarm_trigger,alarm_duration_min,alarm_related_timer_id,record_event,record_exchange_no,record_unit
meta,format_version,3,,,,,,,,,,,,,,,,,,,,,
meta,protocol_id,capd_onebag,,,,,,,,,,,,,,,,,,,,,
meta,protocol_name,レギニュール1.5,,,,,,,,,,,,,,,,,,,,,
meta,protocol_version,v3.0.0,,,,,,,,,,,,,,,,,,,,,
meta,effective_from_local,2026-02-10T00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,
step,,,1,step_001,step_002,事前準備,お腹-独立,必要物品の準備,必要物品_ダブルバッグ.png,,,"物品は揃ってる
つなぐはコンセントにさした",,,,,,,,,,,
step,,,2,step_002,step_003,事前準備,お腹-独立,身の回りの確認,,袖が手首などにかかっていない？ （捲れている？）,,爪は長くない,,,,,,,,,,,
step,,,3,step_003,step_004,事前準備,お腹-独立,空調を止める,,,,エアコンは止まってる,,,,,,,,,,,
step,,,4,step_004,step_005,事前準備,お腹-独立,マスクをする,,,,マスクをした,,,,,,,,,,,
step,,,5,step_005,step_006,事前準備,お腹-独立,手を洗う,手洗い.png,手首まで洗う,,手は洗い終わった,,,,,,,,,,,
step,,,6,step_006,step_007,事前準備,お腹-独立,キャップを取り出す,,"外袋を破って中を取り出す
マスクは非常に臭いので廃棄",キャップの内袋はまだ開けない,キャップに破損はない,,,,,,,,,,,
step,,,7,step_007,step_008,事前準備,お腹-独立,透析液の内容を確認する,透析液_レギニュール1500.png,,,"レギニュール1,500mlであってる
使用期限は切れていない",,,,,,,,,,,
step,,,8,step_008,step_009,事前準備,お腹-独立,透析液の外袋を開封する,透析液_開封後.png,袋やコードのくっついている箇所を外す,,,,,,,,,,,,,
step,,,9,step_009,step_010,事前準備,お腹-独立,青と白のクランプを閉じる,青白クランプ_閉じる.png,青と白を両方とも15cmくらい下にずらす,,クランプ両方をずらして閉じた,,,,,,,,,,,
step,,,10,step_010,step_011,事前準備,お腹-独立,排液バックをかごに置く,,(これはなんだろう),,,,,,,,,,,,,
step,,,11,step_011,step_012,事前準備,お腹-独立,隔壁開通する,隔壁開通_2箇所.png,"下から巻くようにして隔壁を開通する
2−3回上下を押さえて混ぜる",,2箇所開通して、混ぜた,,,,,,,,,,,
step,,,12,step_012,step_013,事前準備,お腹-独立,赤いシールを剥がす,赤いシール剥離.png,,必ず隔壁開通した後に,,,,,,,,,,,,
step,,,13,step_013,step_014,接続,お腹-独立,お腹のチューブを取り出す,,,床に落ちて汚れないように,,,,,,,,,,,,
step,,,14,step_014,step_015,接続,お腹-独立,つなぐの電源を入れる,つなぐ_電源ON.png,1秒くらい長押し,,,,,,,,,,,,,
step,,,15,step_015,step_016,接続,お腹-独立,画面が接続操作になる,つなぐ_操作できる状態.png,,,,,,,,,,,,,,
step,,,16,step_016,step_017,接続,お腹-独立,手指のアルコール消毒をする,,"15秒ほど手に擦り込む
この後も何かに触れたら消毒する",,,,,,,,,,,,,
step,,,17,step_017,step_018,接続,お腹-独立,フタを開けてチューブをセットする,つなぐ_チューブセット_廃液時.png,人差し指でフタを閉じる,,画像の通り接続できた,,,,,,,,,,,
step,,,18,step_018,step_019,接続,お腹-接続,チューブが接続される,つなぐ_接続中.png,接続が終わったら次へ,,,,,,,,,,,,,
step,,,19,step_019,step_020,接続,お腹-接続,フタを開けて取り出す,つなぐ_取り出し_接続後.png,"手前のキャップを捨てる
お腹のチューブを外す
フタを閉じる（勝手に電源が切れる）",,,,,,,,,,,,,
step,,,20,step_020,step_021,廃液,お腹-接続,白いクランプを開ける,白クランプ_開ける.png,,,白いクランプを開けた,,,,,,,,,,,
